DOR Code,Municipality,County,Billing Cycle,Form of Government,School Structure,2021 Population,FY 2023 Single Family Tax Bill,2020 DOR Income Per Capita,2022 EQV Per Capita,Land Area,Population Density,2018 Total Road Miles,Fiscal Year,General Government,Police,Fire,Other Public Safety,Education,Public Works,Human Services,Culture and Recreation,Fixed Costs,Intergovernmental Assessments,Other Expenditures,Debt Service,Total Expenditures,Tax Levy,State Aid,Local Receipts,Enterprise & CPA Funds,Other Revenue,Total Budget...9,Tax Levy as % of Budget...10,State Aid as % of Budget...11,Local Receipts as % of Budget...12,All Other as % of Budget,Total Budget...14,Tax Levy as % of Budget...15,State Aid as % of Budget...16,Local Receipts as % of Budget...17,Other + CPA + Ent as % of Total,Residential Tax Rate,Open Space Tax Rate,Commercial Tax Rate,Industrial Tax Rate,Personal Property Tax Rate,Residential Levy,Open Space Levy,Commercial Levy,Industrial Levy,Personal Prop Levy,Total Tax Levy,R/O % of Total Levy,CIP as % of Total Levy
114,Greenfield,FRANKLIN,Quarterly,COUNCIL AND ALDERMAN,K-12,17652,5076,24870,99245,21.43,824,129.61,2023,4500745,3593290,3000966,1127206,22846096,2750591,870628,936345,14692881,4884129,0,4304073,63506950,37766614,20572596,4760300,7840913,7416269.8,70515779.8,53.56,29.17,6.75,10.52,78356692.8,48.2,26.26,6.08,19.47,19.65,0,19.65,19.65,19.65,28567259.07,0,5736865.21,856164.75,2606324.97,37766614,75.64,24.36
115,Groton,MIDDLESEX,Quarterly,OPEN TOWN MEETING,No data,11147,9916,86514,197287,32.76,340,109.29,2023,2482866,2688315,1792662,747804,26189285,2197711,385135,1787283,4830403,95249,0,3614162,46810875,39160747.75,1077749,4808620,4343563,3495347,48542463.75,80.67,2.22,9.91,7.2,52886026.75,74.05,2.04,9.09,14.82,15.64,0,15.64,15.64,15.64,36949250.35,0,1539628.03,270284.22,401585.15,39160747.75,94.35,5.65
116,Groveland,ESSEX,Quarterly,OPEN TOWN MEETING,No data,6737,7590,46444,186344,8.88,759,42.93,2023,1137175,1582326,334839,102208,13427417,1688465,215205,282875,1500913,0,141106,379892,20792421,18274665.69,1144115,1600220,2526312.03,957267.31,21976268,83.16,5.21,7.28,4.36,24502580.03,74.58,4.67,6.53,14.22,13.13,0,13.13,13.13,13.13,17124512.39,0,459791.29,380156.83,310205.18,18274665.69,93.71,6.29
117,Hadley,HAMPSHIRE,Quarterly,OPEN TOWN MEETING,K-12,5272,4833,38484,220277,23.09,228,79.13,2023,1315429,1544286,796924,935064,7554170,1437002,265201,272333,3335348,1359300,163490,1415854,20394401,13970852.54,3273422,3388750,4099800.08,1034132.02,21667156.56,64.48,15.11,15.64,4.77,25766956.64,54.22,12.7,13.15,19.92,11.54,0,11.54,11.54,11.54,9629767.64,0,3579028.29,275179.38,486877.23,13970852.54,68.93,31.07
118,Halifax,PLYMOUTH,Semi-Annual,OPEN TOWN MEETING,K-06,7749,6818,39416,156265,16,484,60.02,2023,1933876,1698953,1365119,338719,14719505,1162856,472124,383977,3067208,206998,218204,575256,26142795,19163325.99,4510032,2487800,2204112,3837472,29998629.99,63.88,15.03,8.29,12.79,32202741.99,59.51,14.01,7.73,18.76,14.88,0,14.88,14.88,14.88,17533962.11,0,945590.98,398391.17,285381.73,19163325.99,91.5,8.5
119,Hamilton,ESSEX,Quarterly,OPEN TOWN MEETING,No data,7539,11662,94639,253727,14.18,532,52.1,2023,2549609,1977180,959906,632918,22527924,2129415,304661,287290,2387498,1123261,106218,581122,35567002,32849406.08,1048891,2038655.92,2689687,573013,36509966,89.97,2.87,5.58,1.57,39199653,83.8,2.68,5.2,8.32,16.34,0,16.34,16.34,16.34,31511020.26,0,972436.65,14150.44,351798.73,32849406.08,95.93,4.07
120,Hampden,HAMPDEN,Quarterly,OPEN TOWN MEETING,No data,4935,5831,46559,153743,19.63,251,55.05,2023,957128,1464154,366546,557470,8253838,1551388,361139,323518,1400765,0,0,219750,15455696,13546214.84,839961,804892,205100,748494,15939561.84,84.98,5.27,5.05,4.7,16144661.84,83.91,5.2,4.99,5.91,16.87,0,16.87,16.87,16.87,11537271.96,0,595163.9,100252.51,1313526.47,13546214.84,85.17,14.83
121,Hancock,BERKSHIRE,Semi-Annual,OPEN TOWN MEETING,K-06,751,786,16835,451225,35.67,21,28.5,2023,146327,1932,58157,2856,1987620,157505,12048,17328,53329,10425,2588,0,2450115,915315.82,559804,748800,0,450600,2674519.82,34.22,20.93,28,16.85,2674519.82,34.22,20.93,28,16.85,2.68,0,2.68,2.68,2.68,526668.43,0,303472.25,43354.09,41821.05,915315.82,57.54,42.46
122,Hanover,PLYMOUTH,Quarterly,OPEN TOWN MEETING,K-12,14871,9156,63650,224181,15.61,953,96.82,2023,5800702,4310503,4006920,621758,35890019,3912775,435098,603940,9165537,770175,0,4291835,69809262,50707605.81,9997579,4797552,6871509,5601645.47,71104382.28,71.31,14.06,6.75,7.88,77975891.28,65.03,12.82,6.15,16,13.49,0,13.49,13.49,13.49,42912164.71,0,5504545.41,1345101.81,945793.88,50707605.81,84.63,15.37
123,Hanson,PLYMOUTH,Quarterly,OPEN TOWN MEETING,No data,10674,6461,42195,159743,15.05,709,66.23,2023,2297899,2970206,2531919,227458,15148920,1674799,313802,541791,4106017,162124,0,794526,30769461,25947201.1,1686775,4144863,1121252,3276563.46,35055402.56,74.02,4.81,11.82,9.35,36176654.56,71.72,4.66,11.46,12.16,14.18,0,14.18,14.18,14.18,24108707.2,0,1038974.74,340147,459372.16,25947201.1,92.91,7.09
124,Hardwick,WORCESTER,Quarterly,OPEN TOWN MEETING,No data,2660,4287,29421,109024,38.59,69,86.41,2023,650311,763393,209452,33453,3007351,630199,88809,90955,560516,14508,0,57794,6106741,4547512.83,696406,988384.01,920542.87,220642,6452944.84,70.47,10.79,15.32,3.42,7373487.71,61.67,9.44,13.4,15.48,13.3,0,13.3,13.3,13.3,4166526.25,0,196093.05,29726.83,155166.7,4547512.83,91.62,8.38
125,Harvard,WORCESTER,Quarterly,OPEN TOWN MEETING,K-12,6844,12833,73389,209527,26.44,259,79.92,2023,2138535,1305176,990865,396055,15489561,2279111,309476,694105,4833610,428641,6195,3989882,32861212,26371298.35,4310611,1671354,775839,4197046.7,36550310.05,72.15,11.79,4.57,11.48,37326149.05,70.65,11.55,4.48,13.32,16.61,0,16.6,16.6,16.6,25229927.56,0,751597.2,38448.92,351324.67,26371298.35,95.67,4.33
126,Harwich,BARNSTABLE,Quarterly,OPEN TOWN MEETING,K-12,13629,5236,46127,524103,20.88,653,170.99,2023,4797032,4670262,5187295,5000,29197379,7891195,1142078,4263450,9142474,825195,250000,3116628,70487988,54988268.25,794468,15738213,10716057,2964205.84,74485155.09,73.82,1.07,21.13,3.98,85201212.09,64.54,0.93,18.47,16.06,6.64,0,6.64,6.64,6.64,51229476.27,0,2334785.81,223196.96,1200809.21,54988268.25,93.16,6.84
127,Hatfield,HAMPSHIRE,Quarterly,OPEN TOWN MEETING,K-12,3314,4994,39779,200373,15.91,208,59.64,2023,1045730,292610,338472,219092,5903159,1541845,178126,152038,1667758,597925,0,148760,12085515,8738005.46,2339805,1063975,2259996,1450764,13592549.46,64.29,17.21,7.83,10.67,15852545.46,55.12,14.76,6.71,23.41,13.48,0,13.48,13.48,13.48,6743247.72,0,1324348.21,272377.08,398032.45,8738005.46,77.17,22.83
128,Haverhill,ESSEX,Quarterly,COUNCIL AND ALDERMAN,K-12,67361,5155,32578,130265,32.97,2043,265.21,2023,5290531,14455867,11789793,342915,122094587,10914056,1893454,2738977,45879075,8370284,1859135,6420019,232048693,119052945.91,87763484,18618876.1,26481421,7951440,233386746.01,51.01,37.6,7.98,3.41,259868167.01,45.81,33.77,7.16,13.25,11.15,0,20.33,20.33,20.33,94050935.78,0,11611866.46,6343926.26,7046217.41,119052945.91,79,21
129,Hawley,FRANKLIN,Quarterly,OPEN TOWN MEETING,No data,350,4272,22046,150204,30.83,11,51.99,2023,120573,1444,14596,13718,628557,377319,4986,2400,97647,0,0,0,1261240,951561.65,151569,56050,0,157955,1317135.65,72.24,11.51,4.26,11.99,1317135.65,72.24,11.51,4.26,11.99,16.66,0,16.66,16.66,16.66,850652.8,0,48680.85,6225.66,46002.34,951561.65,89.4,10.6
130,Heath,FRANKLIN,Quarterly,OPEN TOWN MEETING,No data,726,4548,15631,144899,24.89,29,59.68,2023,463336,33586,43050,7845,1100485,579473,19138,66179,221923,22788,13216,134306,2705325,2339914.12,114690,194395.37,0,222259.87,2871259.36,81.49,3.99,6.77,7.74,2871259.36,81.49,3.99,6.77,7.74,22.88,0,22.88,22.88,22.88,2068839.34,0,32382.75,2178.18,236513.85,2339914.12,88.42,11.58
131,Hingham,PLYMOUTH,Quarterly,OPEN TOWN MEETING,K-12,24311,11177,140318,356733,22.21,1095,131.86,2023,6077534,7508754,7822459,1940768,63015255,5822600,887753,2627064,16967575,1062691,19214,5372579,119124246,95707587.3,10475993,14623730,16634160,8303718,129111028.3,74.13,8.11,11.33,6.43,145745188.3,65.67,7.19,10.03,17.11,10,0,10,10,10,85441178.22,0,6824099.08,2161614,1280696,95707587.3,89.27,10.73
132,Hinsdale,BERKSHIRE,Semi-Annual,OPEN TOWN MEETING,No data,1908,3713,42067,190452,20.73,92,42.54,2023,554475,393337,85184,29575,3063494,922551,38073,120411,524819,23655,1594,18533,5775701,4879540.72,431811,1042693,0,484452.91,6838497.63,71.35,6.31,15.25,7.08,6838497.63,71.35,6.31,15.25,7.08,13.49,0,13.49,13.49,13.49,3782706.4,0,327100.03,103998.46,665735.83,4879540.72,77.52,22.48
133,Holbrook,NORFOLK,Quarterly,REPRESENTATIVE TOWN MEETING,K-12,11335,6446,35211,147355,7.25,1563,51.37,2023,1666388,3465169,2606491,2314168,18178371,2407298,168906,601546,9251834,1332220,240497,3811569,46044457,31532618.76,11858796,3189033.19,7695139.56,4457977.65,51038425.6,61.78,23.24,6.25,8.73,58733565.16,53.69,20.19,5.43,20.69,15.38,0,30.47,30.47,30.47,24109849.18,0,3103488.94,2343749.35,1975531.29,31532618.76,76.46,23.54
134,Holden,WORCESTER,Quarterly,OPEN TOWN MEETING,No data,19898,6633,48972,148669,35.08,567,130.24,2023,2785700,2554597,2619546,806535,35099388,4019965,311434,969226,4498506,151678,0,3518974,57335549,48002545.81,2489948,5812414,11215362,3403540,59708447.81,80.39,4.17,9.73,5.7,70923809.81,67.68,3.51,8.2,20.61,14.99,0,14.99,14.99,14.99,45677496.54,0,1245447.58,512587.55,567014.14,48002545.81,95.16,4.84
135,Holland,HAMPDEN,Quarterly,OPEN TOWN MEETING,K-06,2583,4164,36504,159755,12.29,210,38.34,2023,521076,208719,143009,209707,4411473,907219,127542,112075,890111,193884,0,82481,7807296,6240695.41,1523635,473600,0,487955.03,8725885.44,71.52,17.46,5.43,5.59,8725885.44,71.52,17.46,5.43,5.59,13.09,0,13.09,13.09,13.09,6027827.83,0,66715.16,9482.4,136670.02,6240695.41,96.59,3.41
136,Holliston,MIDDLESEX,Quarterly,OPEN TOWN MEETING,K-12,14840,9303,65547,218591,18.64,796,97.08,2023,2281517,3259951,1033697,1037601,40297594,3933734,659867,691964,9045374,629381,0,623073,63493753,54367987.1,11209150,3597076,10898601,8063790,77238003.1,70.39,14.51,4.66,10.44,88136604.1,61.69,12.72,4.08,21.51,15.4,0,15.4,15.4,15.4,46936325.56,0,1417089.5,4220383.49,1794188.55,54367987.1,86.33,13.67
137,Holyoke,HAMPDEN,Quarterly,COUNCIL AND ALDERMAN,K-12,37929,4432,21212,67828,21.28,1782,177.05,2023,4386591,13240759,10088019,653812,82231706,5351531,1762977,2102175,26286018,20718360,1566242,4787537,173175727,59975991.98,105786090,12059488,10301956,2290335.68,180111905.66,33.3,58.73,6.7,1.27,190413861.66,31.5,55.56,6.33,6.61,18.76,0,40.17,40.17,40.17,36793937.65,0,17716698.27,3035182.41,2430173.65,59975991.98,61.35,38.65
138,Hopedale,WORCESTER,Quarterly,OPEN TOWN MEETING,K-12,5998,7238,46973,154937,5.17,1160,32.02,2023,1292845,1662836,1302458,513506,13990027,843585,914599,396051,5478829,329222,0,382140,27106098,17490680.34,8082803,1554110,3282509.6,1200737.03,28328330.37,61.74,28.53,5.49,4.24,31610839.97,55.33,25.57,4.92,14.18,16.15,0,26.17,26.17,26.17,14096712.92,0,1344097.22,1118309.53,931560.67,17490680.34,80.6,19.4
139,Hopkinton,MIDDLESEX,Quarterly,OPEN TOWN MEETING,K-12,18943,11902,94319,273113,26.26,721,125.68,2023,4459970,2720552,3618742,784231,56456842,6712184,1380780,1262770,13794007,400157,0,7061522,98651757,86983988.68,10307265,4935630.25,8618794,9645035.22,111871919.15,77.75,9.21,4.41,8.62,120490713.15,72.19,8.55,4.1,15.16,15.81,0,15.8,15.8,15.8,71418453.62,0,3114711.51,6267285.94,6183537.61,86983988.68,82.11,17.89
140,Hubbardston,WORCESTER,Quarterly,OPEN TOWN MEETING,No data,4312,4625,40903,136314,41.07,105,85.63,2023,709374,785245,554249,271202,5951049,1148297,26613,84971,717566,0,0,242610,10491176,8053997.81,668674,1364005,185492,632245.4,10718922.21,75.14,6.24,12.73,5.9,10904414.21,73.86,6.13,12.51,7.5,13.03,0,13.03,13.03,13.03,7574024.81,0,174262.35,65712.9,239997.75,8053997.81,94.04,5.96
141,Hudson,MIDDLESEX,Quarterly,OPEN TOWN MEETING,K-12,19790,7274,44478,177304,11.52,1718,92.6,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,61139687.63,17277821,15718442.75,1010548.6,4698678.39,98834629.77,61.86,17.48,15.9,4.75,99845178.37,61.23,17.3,15.74,5.72,14.6,0,28.88,28.88,28.88,46867899.72,0,6386317.63,5601934.46,2283535.82,61139687.63,76.66,23.34
142,Hull,PLYMOUTH,Quarterly,OPEN TOWN MEETING,K-12,10144,6983,51670,281108,2.8,3623,53.68,2023,2911739,3501613,3807035,332812,16641001,1328602,722847,390411,10924374,1321351,0,3617326,45499111,34967200.82,6646792,4028088.5,10004816,1871648,47513729.32,73.59,13.99,8.48,3.94,57518545.32,60.79,11.56,7,20.65,12.17,0,12.17,12.17,12.17,33528014.91,0,884483.15,0,554702.76,34967200.82,95.88,4.12
143,Huntington,HAMPSHIRE,Quarterly,OPEN TOWN MEETING,No data,2074,4500,37464,123177,26.32,79,54.69,2023,428833,147778,84323,121799,3694490,795226,49120,95068,223750,0,5139,90121,5735647,4421415.63,733236,782892,0,246308,6183851.63,71.5,11.86,12.66,3.98,6183851.63,71.5,11.86,12.66,3.98,17.05,0,17.05,17.05,17.05,4165930.98,0,97527.94,23455.69,134501.02,4421415.63,94.22,5.78
144,Ipswich,ESSEX,Quarterly,OPEN TOWN MEETING,K-12,13716,8620,72017,266202,32.11,427,97.07,2023,3079609,3105394,2111622,1006551,34019796,3353993,615523,1445616,4533174,0,134957,8497526,61903761,47768765.47,7007590,3429821,7785375,5572948,63779124.47,74.9,10.99,5.38,8.74,71564499.47,66.75,9.79,4.79,18.67,12.23,0,12.23,12.23,12.23,43129902.63,0,1989935.34,2179838.27,469089.23,47768765.47,90.29,9.71
145,Kingston,PLYMOUTH,Quarterly,OPEN TOWN MEETING,K-06,13793,7181,47566,194761,18.66,739,107.04,2023,3889281,4155716,3577244,476293,27265545,2535133,768987,1003144,6944296,447799,0,194463,51257901,38093787.1,6327425,5646600,8455003,2060649.42,52128461.52,73.08,12.14,10.83,3.95,60583464.52,62.88,10.44,9.32,17.36,13.36,0,13.36,13.36,13.36,33106439.88,0,3426012.78,264975.56,1296358.88,38093787.1,86.91,13.09
146,Lakeville,PLYMOUTH,Quarterly,OPEN TOWN MEETING,K-04,11762,5574,47342,198500,29.56,398,115.17,2023,2416242,2375338,1673709,466527,19164457,1103099,491957,385019,3586766,205793,0,793046,32661953,28145028.32,1878609,3983500,736606.57,2376814.71,36383952.03,77.36,5.16,10.95,6.53,37120558.6,75.82,5.06,10.73,8.39,11.15,0,11.15,11.15,11.15,24648420.81,0,1883167.77,1266540.77,346898.97,28145028.32,87.58,12.42
147,Lancaster,WORCESTER,Quarterly,OPEN TOWN MEETING,No data,8455,7842,40295,139784,27.47,308,75.14,2023,2043524,1086953,708765,334889,16856630,771350,197743,459445,1759314,149022,0,399825,24767460,22061020.63,1386044,2039813,2387000,1200086,26686963.63,82.67,5.19,7.64,4.5,29073963.63,75.88,4.77,7.02,12.34,17.19,0,17.19,17.19,17.19,19154490.17,0,1497201.02,767719.22,641610.22,22061020.63,86.83,13.17
148,Lanesborough,BERKSHIRE,Quarterly,OPEN TOWN MEETING,K-06,3027,5313,30599,157076,28.84,105,64.87,2023,1383592,732139,109814,39718,6310591,1175358,119279,87396,942953,104099,0,94712,11099651,9128590.87,599776,1329562.66,288860,770105.78,11828035.31,77.18,5.07,11.24,6.51,12116895.31,75.34,4.95,10.97,8.74,17.67,0,17.67,17.67,17.67,7620199.64,0,824397.63,140649.67,543343.93,9128590.87,83.48,16.52
149,Lawrence,ESSEX,Quarterly,COUNCIL AND ALDERMAN,K-12,88508,3813,20035,73376,6.93,12772,139.86,2023,7300846,16473922,14339804,1631404,249987221,14277791,866146,1352731,27865435,7642581,701247,14709443,357148571,82927360.02,273006596,12782558,24860964,17435504.8,386152018.82,21.48,70.7,3.31,4.52,411012982.82,20.18,66.42,3.11,10.29,10.16,0,21.14,21.14,21.14,57550611.87,0,10868604.17,7111029.88,7397114.1,82927360.02,69.4,30.6
150,Lee,BERKSHIRE,Semi-Annual,REPRESENTATIVE TOWN MEETING,K-12,5755,4086,36446,204415,26.15,220,72.51,2023,1182350,1264976,1080128,168562,10164902,1483972,164930,438449,4431252,718225,0,864750,21962496,14624482.25,4611831,3715324,3545829,1251279,24202916.25,60.42,19.05,15.35,5.17,27748745.25,52.7,16.62,13.39,17.29,11.83,0,11.83,11.83,11.83,10206152.2,0,2462657.65,714773.78,1240898.62,14624482.25,69.79,30.21
151,Leicester,WORCESTER,Quarterly,OPEN TOWN MEETING,K-12,11048,4294,35514,118512,23.25,475,95.16,2023,1669542,2448256,404073,189212,19100869,1635312,238190,307074,4974079,912649,1332426,1537506,34749188,18356606.54,12620767,2545633,1326850,3525718.09,37048724.63,49.55,34.07,6.87,9.52,38375574.63,47.83,32.89,6.63,12.64,12.86,0,12.86,12.86,12.86,16139133.33,0,949810.34,409263.4,858399.47,18356606.54,87.92,12.08
152,Lenox,BERKSHIRE,Quarterly,OPEN TOWN MEETING,K-12,5099,5274,60813,293671,21.22,240,63.92,2023,1224755,1211677,765754,749041,12266207,1559338,223488,899844,4896349,369831,7110,224000,24397394,17082671.32,3558115,4175128.8,4589039,3028200,27844115.12,61.35,12.78,14.99,10.88,32433154.12,52.67,10.97,12.87,23.49,9.16,0,13.03,13.03,13.03,12655506.33,0,3496911.34,133406.35,796847.3,17082671.32,74.08,25.92
153,Leominster,WORCESTER,Quarterly,COUNCIL AND ALDERMAN,K-12,43613,5776,32707,118064,28.81,1514,184.53,2023,8325030,9145832,10536216,1793424,76386510,8740102,1121443,2637863,5262788,3698798,24687,1128178,128800871,83973150.72,66970383,18789499,0,22358684.72,192091717.44,43.72,34.86,9.78,11.64,192091717.44,43.72,34.86,9.78,11.64,15.54,15.54,15.54,15.54,15.54,68649207.4,6576.53,7956461.72,4458945.27,2901959.8,83973150.72,81.76,18.24
154,Leverett,FRANKLIN,Semi-Annual,OPEN TOWN MEETING,K-06,1862,6662,55550,181837,22.81,82,42.03,2023,429470,302254,139494,59589,4189440,639259,15562,92205,418546,56061,39826,410008,6791714,5970195.64,823395,357650,157000,357874,7509114.64,79.51,10.97,4.76,4.77,7666114.64,77.88,10.74,4.67,6.72,16.02,0,16.02,16.02,16.02,5338085.08,0,57427.98,12151.17,562531.41,5970195.64,89.41,10.59
155,Lexington,MIDDLESEX,Quarterly,REPRESENTATIVE TOWN MEETING,K-12,34071,17514,139581,441260,16.43,2074,162.75,2023,20077834,7692756,8329633,2289510,127066811,9136390,1882267,4804983,41645233,1003631,259837,23363388,247552273,231395606.52,17056598,13835444.77,47247099,19141368.38,281429017.67,82.22,6.06,4.92,6.8,328676116.67,70.4,5.19,4.21,20.2,13,0,25.72,25.72,25.72,177391332.81,0,21115127.98,24276002.04,8613143.69,231395606.52,76.66,23.34
156,Leyden,FRANKLIN,Quarterly,OPEN TOWN MEETING,No data,738,4524,49860,141571,17.9,41,37.78,2023,262796,89492,27242,21226,842825,376440,17347,27959,129841,5344,550,63000,1864062,1710620.74,147572,123300,418940,212753,2194245.74,77.96,6.73,5.62,9.7,2613185.74,65.46,5.65,4.72,24.17,15.18,0,15.18,15.18,15.18,1622494.44,0,38649.36,3697.85,45779.09,1710620.74,94.85,5.15
157,Lincoln,MIDDLESEX,Semi-Annual,OPEN TOWN MEETING,K-08,6890,19373,160933,359264,14.23,484,61.06,2023,3179707,1962959,1741984,1358914,16694503,2214303,551580,1931028,6645584,198444,422050,4735813,41636869,36804321.6,2748048,446005,3577598,6621947,46620321.6,78.94,5.89,0.96,14.2,50197919.6,73.32,5.47,0.89,20.32,13.92,0,20.43,20.43,20.43,34841576.6,0,869520.19,76676.43,1016548.38,36804321.6,94.67,5.33
158,Littleton,MIDDLESEX,Quarterly,OPEN TOWN MEETING,K-12,10121,9654,64359,241858,16.52,613,86.32,2023,4318345,2417232,2399394,908466,23695888,2507508,511871,1004534,8512954,1224358,6308,3098558,50605416,47997794.36,6036069,3726227,5869120,12740203.51,70500293.87,68.08,8.56,5.29,18.07,76369413.87,62.85,7.9,4.88,24.37,16.25,0,25.37,25.37,25.37,33773103.8,0,4348957.47,8115537.88,1760195.21,47997794.36,70.36,29.64
159,Longmeadow,HAMPDEN,Quarterly,OPEN TOWN MEETING,K-12,15725,10022,87417,156331,9.12,1724,99.76,2023,4809030,3018637,2750301,60891,37545669,3707198,420857,1602461,5413842,297242,628373,6191251,66445752,60257501.8,8515105,5526098,8064028.68,3210633.32,77509338.12,77.74,10.99,7.13,4.14,85573366.8,70.42,9.95,6.46,13.18,22.92,0,22.92,22.92,22.92,56467270.56,0,1966783.54,94680.23,1728767.47,60257501.8,93.71,6.29
160,Lowell,MIDDLESEX,Quarterly,COUNCIL AND ALDERMAN,K-12,113994,5088,25563,99786,13.58,8394,243.98,2023,19813745,31714047,24480092,1440336,222651641,15585259,4787938,4907511,61869285,39260851,40,12536032,439046777,164432054.63,244927183,25038424.17,54551203.97,27397586.17,461795247.97,35.61,53.04,5.42,5.93,516346451.94,31.85,47.43,4.85,15.87,12.42,0,24.36,24.36,24.36,128230547.09,0,16168404.21,9452375.94,10580727.39,164432054.63,77.98,22.02
161,Ludlow,HAMPDEN,Quarterly,REPRESENTATIVE TOWN MEETING,K-12,20900,5364,33454,115378,27.2,768,137.26,2023,3699962,4349729,3761080,1888914,35361252,4500688,1156478,970762,15314353,1159141,50858,2478695,74691912,49325264.92,18446433,8715955,2893890,4227129.01,80714781.93,61.11,22.85,10.8,5.24,83608671.93,59,22.06,10.42,8.52,19.51,0,19.51,19.51,19.51,39569473.63,0,3654756.27,1380925.31,4720109.71,49325264.92,80.22,19.78
162,Lunenburg,WORCESTER,Quarterly,OPEN TOWN MEETING,K-12,11816,6874,44044,157029,26.48,446,92.25,2023,2690011,2051012,1751869,347674,23491186,2265449,362842,568292,4900942,1075320,0,4495105,43999702,30869178.82,10974367,3168990.5,2593275.93,2539039.4,47551575.72,64.92,23.08,6.66,5.34,50144851.65,61.56,21.89,6.32,10.23,14.62,0,14.62,14.62,14.62,28618106.43,0,1096389.03,348350.74,806332.62,30869178.82,92.71,7.29
163,Lynn,ESSEX,Quarterly,COUNCIL AND ALDERMAN,K-12,100843,5326,24358,115391,10.74,9389,176.03,2023,8115329,23838330,21513418,27953727,210165308,15966504,978660,1521907,45874218,35636969,0,8040578,399604948,154576000.41,275995951,18872000,297522,30935643.05,480379594.46,32.18,57.45,3.93,6.44,480677116.46,32.16,57.42,3.93,6.5,11.15,0,21.35,21.35,21.35,126690323.02,0,15253787.08,4411674.24,8220216.07,154576000.41,81.96,18.04
164,Lynnfield,ESSEX,Quarterly,OPEN TOWN MEETING,K-12,12955,10165,93034,319176,9.88,1311,76.22,2023,3664942,3702395,1930416,306823,33870642,4851807,554050,1125415,10659635,571227,514422,3884075,65635849,51870292.45,6419355,5249912,2689626,3551917.14,67091476.59,77.31,9.57,7.83,5.29,69781102.59,74.33,9.2,7.52,8.94,11.3,0,18.15,18.15,18.15,42717095.17,0,7742052.87,419600.78,991543.63,51870292.45,82.35,17.65
165,Malden,MIDDLESEX,Quarterly,COUNCIL AND ALDERMAN,K-12,65074,4477,32422,153338,5.04,12912,109.78,2023,10868154,13100943,12714432,1358869,80472764,10854561,1479674,2503215,17484905,14898200,0,7425260,173160977,105368863.75,70373513,18845884.04,34232365.91,1903973,196492233.79,53.62,35.81,9.59,0.97,230724599.7,45.67,30.5,8.17,15.66,12.19,0,18.68,18.68,18.68,84060248.23,0,11893003.05,4814474.61,4601137.86,105368863.75,79.78,20.22
166,Manchester By The Sea,ESSEX,Quarterly,OPEN TOWN MEETING,No data,5363,14603,158051,553729,9.23,581,38.44,2023,2098351,2176467,1718687,160719,19140509,3588204,372792,969624,3085080,178855,0,1035563,34524851,30972686.92,277550,2556880,4116400,2190567,35997683.92,86.04,0.77,7.1,6.09,40114083.92,77.21,0.69,6.37,15.72,10.43,0,10.43,10.43,10.43,29058041.48,0,1119621.2,59434.31,735589.93,30972686.92,93.82,6.18
167,Mansfield,BRISTOL,Quarterly,OPEN TOWN MEETING,K-12,23823,7979,56411,200481,20.09,1186,127.73,2023,5089924,5552590,5277783,1115734,57616902,5506627,785581,975541,19876677,2047815,0,3971440,107816614,75052710.43,22413240,8311433,12861274.69,2262737.77,108040121.2,69.47,20.75,7.69,2.09,120901395.89,62.08,18.54,6.87,12.51,14.09,0,18.52,18.52,18.52,54855552.95,0,6839804.53,11085346.02,2272006.93,75052710.43,73.09,26.91
168,Marblehead,ESSEX,Quarterly,OPEN TOWN MEETING,K-12,20296,10305,100752,369885,4.39,4623,80.02,2023,2815519,5018445,4967012,596041,44336803,5677701,759309,2181334,17207379,2516077,0,10106619,96182239,79085270.05,8289613,5592208.53,12788195.8,11090788.87,104057880.45,76,7.97,5.37,10.66,116846076.25,67.68,7.09,4.79,20.44,10,0,10,10,10,75255046.72,0,2738464.43,183033,908725.9,79085270.05,95.16,4.84
169,Marion,PLYMOUTH,Quarterly,OPEN TOWN MEETING,K-06,5333,7976,74538,379304,13.99,381,41.11,2023,2708134,2112429,1197614,528499,12283432,2787534,458201,338413,2767850,107343,0,528869,25818318,21910261.17,1442737,1700000,7455021,3803837,28856835.17,75.93,5,5.89,13.18,36311856.17,60.34,3.97,4.68,31.01,9.44,0,9.44,9.44,9.44,20536402.57,0,807609.53,163387.52,402861.55,21910261.17,93.73,6.27
170,Marlborough,MIDDLESEX,Quarterly,COUNCIL AND ALDERMAN,K-12,41110,5856,40015,182318,20.87,1970,165.53,2023,9087032,8989026,9757111,892501,81394494,17708918,806935,1239781,12945884,9360454,0,9013502,161195638,110039279.31,46150244,34622434,0,15916916.89,206728874.2,53.23,22.32,16.75,7.7,206728874.2,53.23,22.32,16.75,7.7,11.54,0,20.32,20.32,20.32,65115339.32,0,24668560.55,13775503.75,6479875.69,110039279.31,59.17,40.83
171,Marshfield,PLYMOUTH,Quarterly,OPEN TOWN MEETING,K-12,25869,7005,57220,241590,28.62,904,167.57,2023,4483636,6398552,6385764,766732,57328727,3524669,1172015,894400,16575435,1346593,901853,9170779,108949155,78544803.79,18296387,7744846,21178317,6314252.55,110900289.34,70.82,16.5,6.98,5.69,132078606.34,59.47,13.85,5.86,20.82,11.32,0,11.32,11.32,11.32,73178850.83,0,3353183.38,732363.25,1280406.33,78544803.79,93.17,6.83
