source,value,target,town
Total Spending,11050628,General Government,Nantucket
Total Spending,6046811,Police,Nantucket
Total Spending,3554597,Fire,Nantucket
Total Spending,2786197,Other Public Safety,Nantucket
Total Spending,34049253,Education,Nantucket
Total Spending,3763927,Public Works,Nantucket
Total Spending,1718527,Human Services,Nantucket
Total Spending,2663800,Culture and Recreation,Nantucket
Total Spending,8454386,Fixed Costs,Nantucket
Total Spending,1344286,Intergovernmental Assessments,Nantucket
Total Spending,456649,Other Expenditures,Nantucket
Total Spending,11282200,Debt Service,Nantucket
Residential Levy,110163733.08,Tax Levy,Natick
Open Space Levy,0,Tax Levy,Natick
Commercial Levy,21132691.98,Tax Levy,Natick
Industrial Levy,671046.22,Tax Levy,Natick
Personal Prop Levy,3161864.53,Tax Levy,Natick
Tax Levy,135129335.81,Total Revenue,Natick
State Aid,17477042,Total Revenue,Natick
Local Receipts,12992858,Total Revenue,Natick
Enterprise & CPA Funds,19241605,Total Revenue,Natick
Other Revenue,14685595.54,Total Revenue,Natick
Total Revenue,174709588,Total Spending,Natick
Total Revenue,24816848.349999994,Budget Surplus,Natick
Budget Defecit,0,Total Spending,Natick
Total Spending,14496421,General Government,Natick
Total Spending,7885509,Police,Natick
Total Spending,10812584,Fire,Natick
Total Spending,194136,Other Public Safety,Natick
Total Spending,80887468,Education,Natick
Total Spending,8902529,Public Works,Natick
Total Spending,1782912,Human Services,Natick
Total Spending,3132018,Culture and Recreation,Natick
Total Spending,31401683,Fixed Costs,Natick
Total Spending,1396463,Intergovernmental Assessments,Natick
Total Spending,11800,Other Expenditures,Natick
Total Spending,13806065,Debt Service,Natick
Residential Levy,139734848.94,Tax Levy,Needham
Open Space Levy,0,Tax Levy,Needham
Commercial Levy,26228051.83,Tax Levy,Needham
Industrial Levy,3205753.71,Tax Levy,Needham
Personal Prop Levy,9724259.57,Tax Levy,Needham
Tax Levy,178892914.05,Total Revenue,Needham
State Aid,15221089,Total Revenue,Needham
Local Receipts,12411662,Total Revenue,Needham
Enterprise & CPA Funds,23693336,Total Revenue,Needham
Other Revenue,18556775.4,Total Revenue,Needham
Total Revenue,203000073,Total Spending,Needham
Total Revenue,45775703.45000002,Budget Surplus,Needham
Budget Defecit,0,Total Spending,Needham
Total Spending,10179315,General Government,Needham
Total Spending,7780732,Police,Needham
Total Spending,9944908,Fire,Needham
Total Spending,3344353,Other Public Safety,Needham
Total Spending,95549915,Education,Needham
Total Spending,8555318,Public Works,Needham
Total Spending,2422085,Human Services,Needham
Total Spending,3227900,Culture and Recreation,Needham
Total Spending,35944477,Fixed Costs,Needham
Total Spending,1555971,Intergovernmental Assessments,Needham
Total Spending,802155,Other Expenditures,Needham
Total Spending,23692944,Debt Service,Needham
Residential Levy,414857.23,Tax Levy,New Ashford
Open Space Levy,0,Tax Levy,New Ashford
Commercial Levy,58982.73,Tax Levy,New Ashford
Industrial Levy,3706.14,Tax Levy,New Ashford
Personal Prop Levy,11124.73,Tax Levy,New Ashford
Tax Levy,488670.83,Total Revenue,New Ashford
State Aid,258290,Total Revenue,New Ashford
Local Receipts,60850,Total Revenue,New Ashford
Enterprise & CPA Funds,73561.22,Total Revenue,New Ashford
Other Revenue,57350.96,Total Revenue,New Ashford
Total Revenue,596819,Total Spending,New Ashford
Total Revenue,341904.01,Budget Surplus,New Ashford
Budget Defecit,0,Total Spending,New Ashford
Total Spending,84831,General Government,New Ashford
Total Spending,581,Police,New Ashford
Total Spending,32982,Fire,New Ashford
Total Spending,2908,Other Public Safety,New Ashford
Total Spending,347268,Education,New Ashford
Total Spending,104150,Public Works,New Ashford
Total Spending,18771,Human Services,New Ashford
Total Spending,0,Culture and Recreation,New Ashford
Total Spending,0,Fixed Costs,New Ashford
Total Spending,0,Intergovernmental Assessments,New Ashford
Total Spending,5328,Other Expenditures,New Ashford
Total Spending,0,Debt Service,New Ashford
Residential Levy,100938711.62,Tax Levy,New Bedford
Open Space Levy,0,Tax Levy,New Bedford
Commercial Levy,22632732.45,Tax Levy,New Bedford
Industrial Levy,11155448.5,Tax Levy,New Bedford
Personal Prop Levy,12134191.51,Tax Levy,New Bedford
Tax Levy,146861084.08,Total Revenue,New Bedford
State Aid,237128127,Total Revenue,New Bedford
Local Receipts,31263582,Total Revenue,New Bedford
Enterprise & CPA Funds,50902634,Total Revenue,New Bedford
Other Revenue,3795642,Total Revenue,New Bedford
Total Revenue,411277085,Total Spending,New Bedford
Total Revenue,58673984.08000004,Budget Surplus,New Bedford
Budget Defecit,0,Total Spending,New Bedford
Total Spending,30306260,General Government,New Bedford
Total Spending,24690608,Police,New Bedford
Total Spending,22080161,Fire,New Bedford
Total Spending,5376722,Other Public Safety,New Bedford
Total Spending,190950324,Education,New Bedford
Total Spending,5087548,Public Works,New Bedford
Total Spending,4149779,Human Services,New Bedford
Total Spending,5186512,Culture and Recreation,New Bedford
Total Spending,83508157,Fixed Costs,New Bedford
Total Spending,31845583,Intergovernmental Assessments,New Bedford
Total Spending,0,Other Expenditures,New Bedford
Total Spending,8095431,Debt Service,New Bedford
Residential Levy,2128905.71,Tax Levy,New Braintree
Open Space Levy,0,Tax Levy,New Braintree
Commercial Levy,94103.17,Tax Levy,New Braintree
Industrial Levy,18149.76,Tax Levy,New Braintree
Personal Prop Levy,101857.25,Tax Levy,New Braintree
Tax Levy,2343015.89,Total Revenue,New Braintree
State Aid,258916,Total Revenue,New Braintree
Local Receipts,211346,Total Revenue,New Braintree
Enterprise & CPA Funds,0,Total Revenue,New Braintree
Other Revenue,125039,Total Revenue,New Braintree
Total Revenue,2874649,Total Spending,New Braintree
Total Revenue,63667.89000000013,Budget Surplus,New Braintree
Budget Defecit,0,Total Spending,New Braintree
Total Spending,220262,General Government,New Braintree
Total Spending,230612,Police,New Braintree
Total Spending,161831,Fire,New Braintree
Total Spending,31529,Other Public Safety,New Braintree
Total Spending,1532679,Education,New Braintree
Total Spending,400673,Public Works,New Braintree
Total Spending,12653,Human Services,New Braintree
Total Spending,24010,Culture and Recreation,New Braintree
Total Spending,206730,Fixed Costs,New Braintree
Total Spending,2426,Intergovernmental Assessments,New Braintree
Total Spending,0,Other Expenditures,New Braintree
Total Spending,51244,Debt Service,New Braintree
Residential Levy,5230901.3,Tax Levy,New Marlborough
Open Space Levy,0,Tax Levy,New Marlborough
Commercial Levy,188488.56,Tax Levy,New Marlborough
Industrial Levy,21768.95,Tax Levy,New Marlborough
Personal Prop Levy,70588.48,Tax Levy,New Marlborough
Tax Levy,5511747.29,Total Revenue,New Marlborough
State Aid,152334,Total Revenue,New Marlborough
Local Receipts,579100,Total Revenue,New Marlborough
Enterprise & CPA Funds,0,Total Revenue,New Marlborough
Other Revenue,701813,Total Revenue,New Marlborough
Total Revenue,6124657,Total Spending,New Marlborough
Total Revenue,820337.29,Budget Surplus,New Marlborough
Budget Defecit,0,Total Spending,New Marlborough
Total Spending,453410,General Government,New Marlborough
Total Spending,288060,Police,New Marlborough
Total Spending,155140,Fire,New Marlborough
Total Spending,150268,Other Public Safety,New Marlborough
Total Spending,2716850,Education,New Marlborough
Total Spending,1366899,Public Works,New Marlborough
Total Spending,215461,Human Services,New Marlborough
Total Spending,144106,Culture and Recreation,New Marlborough
Total Spending,472141,Fixed Costs,New Marlborough
Total Spending,8358,Intergovernmental Assessments,New Marlborough
Total Spending,0,Other Expenditures,New Marlborough
Total Spending,153964,Debt Service,New Marlborough
Residential Levy,2279769.18,Tax Levy,New Salem
Open Space Levy,0,Tax Levy,New Salem
Commercial Levy,27499.08,Tax Levy,New Salem
Industrial Levy,14872.62,Tax Levy,New Salem
Personal Prop Levy,159494.47,Tax Levy,New Salem
Tax Levy,2481635.35,Total Revenue,New Salem
State Aid,273559,Total Revenue,New Salem
Local Receipts,1010512,Total Revenue,New Salem
Enterprise & CPA Funds,0,Total Revenue,New Salem
Other Revenue,216497.96,Total Revenue,New Salem
Total Revenue,3549845,Total Spending,New Salem
Total Revenue,432359.31000000006,Budget Surplus,New Salem
Budget Defecit,0,Total Spending,New Salem
Total Spending,357790,General Government,New Salem
Total Spending,163961,Police,New Salem
Total Spending,140440,Fire,New Salem
Total Spending,87305,Other Public Safety,New Salem
Total Spending,1886892,Education,New Salem
Total Spending,388029,Public Works,New Salem
Total Spending,2872,Human Services,New Salem
Total Spending,73204,Culture and Recreation,New Salem
Total Spending,139839,Fixed Costs,New Salem
Total Spending,0,Intergovernmental Assessments,New Salem
Total Spending,1410,Other Expenditures,New Salem
Total Spending,308103,Debt Service,New Salem
Residential Levy,18374987.48,Tax Levy,Newbury
Open Space Levy,0,Tax Levy,Newbury
Commercial Levy,477660.84,Tax Levy,Newbury
Industrial Levy,33497.41,Tax Levy,Newbury
Personal Prop Levy,334682.85,Tax Levy,Newbury
Tax Levy,19220828.58,Total Revenue,Newbury
State Aid,1159991,Total Revenue,Newbury
Local Receipts,2018000,Total Revenue,Newbury
Enterprise & CPA Funds,328318,Total Revenue,Newbury
Other Revenue,3641307,Total Revenue,Newbury
Total Revenue,21759549,Total Spending,Newbury
Total Revenue,4608895.579999998,Budget Surplus,Newbury
Budget Defecit,0,Total Spending,Newbury
Total Spending,2628601,General Government,Newbury
Total Spending,1369620,Police,Newbury
Total Spending,1262065,Fire,Newbury
Total Spending,500956,Other Public Safety,Newbury
Total Spending,11154358,Education,Newbury
Total Spending,1058641,Public Works,Newbury
Total Spending,424023,Human Services,Newbury
Total Spending,442724,Culture and Recreation,Newbury
Total Spending,1964331,Fixed Costs,Newbury
Total Spending,169807,Intergovernmental Assessments,Newbury
Total Spending,0,Other Expenditures,Newbury
Total Spending,784423,Debt Service,Newbury
Residential Levy,58639527.58,Tax Levy,Newburyport
Open Space Levy,2945.98,Tax Levy,Newburyport
Commercial Levy,3901421.32,Tax Levy,Newburyport
Industrial Levy,2401380.23,Tax Levy,Newburyport
Personal Prop Levy,737942.91,Tax Levy,Newburyport
Tax Levy,65683218.02,Total Revenue,Newburyport
State Aid,8723216,Total Revenue,Newburyport
Local Receipts,5838000,Total Revenue,Newburyport
Enterprise & CPA Funds,17496617.42,Total Revenue,Newburyport
Other Revenue,7455786.39,Total Revenue,Newburyport
Total Revenue,80172834,Total Spending,Newburyport
Total Revenue,25024003.830000013,Budget Surplus,Newburyport
Budget Defecit,0,Total Spending,Newburyport
Total Spending,3782778,General Government,Newburyport
Total Spending,4484709,Police,Newburyport
Total Spending,4647528,Fire,Newburyport
Total Spending,822779,Other Public Safety,Newburyport
Total Spending,34952581,Education,Newburyport
Total Spending,5757649,Public Works,Newburyport
Total Spending,1374964,Human Services,Newburyport
Total Spending,1831182,Culture and Recreation,Newburyport
Total Spending,15544375,Fixed Costs,Newburyport
Total Spending,2514096,Intergovernmental Assessments,Newburyport
Total Spending,0,Other Expenditures,Newburyport
Total Spending,4460193,Debt Service,Newburyport
Residential Levy,343362984.8,Tax Levy,Newton
Open Space Levy,0,Tax Levy,Newton
Commercial Levy,50611349.78,Tax Levy,Newton
Industrial Levy,4102746.5,Tax Levy,Newton
Personal Prop Levy,9630182.18,Tax Levy,Newton
Tax Levy,407707263.26,Total Revenue,Newton
State Aid,33305904,Total Revenue,Newton
Local Receipts,100850182,Total Revenue,Newton
Enterprise & CPA Funds,6325406,Total Revenue,Newton
Other Revenue,31632148,Total Revenue,Newton
Total Revenue,415948613,Total Spending,Newton
Total Revenue,163872290.26,Budget Surplus,Newton
Budget Defecit,0,Total Spending,Newton
Total Spending,19499524,General Government,Newton
Total Spending,24162648,Police,Newton
Total Spending,25468741,Fire,Newton
Total Spending,2267654,Other Public Safety,Newton
Total Spending,217592181,Education,Newton
Total Spending,30234004,Public Works,Newton
Total Spending,5234492,Human Services,Newton
Total Spending,12852286,Culture and Recreation,Newton
Total Spending,47158644,Fixed Costs,Newton
Total Spending,6542353,Intergovernmental Assessments,Newton
Total Spending,0,Other Expenditures,Newton
Total Spending,24936086,Debt Service,Newton
Residential Levy,36140678.71,Tax Levy,Norfolk
Open Space Levy,13964.91,Tax Levy,Norfolk
Commercial Levy,1432190.25,Tax Levy,Norfolk
Industrial Levy,371486.3,Tax Levy,Norfolk
Personal Prop Levy,872019.36,Tax Levy,Norfolk
Tax Levy,38830339.53,Total Revenue,Norfolk
State Aid,5202685,Total Revenue,Norfolk
Local Receipts,3400000,Total Revenue,Norfolk
Enterprise & CPA Funds,2317129,Total Revenue,Norfolk
Other Revenue,2886574.73,Total Revenue,Norfolk
Total Revenue,48230223,Total Spending,Norfolk
Total Revenue,4406505.259999998,Budget Surplus,Norfolk
Budget Defecit,0,Total Spending,Norfolk
Total Spending,3448360,General Government,Norfolk
Total Spending,3277464,Police,Norfolk
Total Spending,2465716,Fire,Norfolk
Total Spending,578233,Other Public Safety,Norfolk
Total Spending,25304820,Education,Norfolk
Total Spending,2343029,Public Works,Norfolk
Total Spending,368202,Human Services,Norfolk
Total Spending,1084652,Culture and Recreation,Norfolk
Total Spending,5663505,Fixed Costs,Norfolk
Total Spending,721353,Intergovernmental Assessments,Norfolk
Total Spending,316695,Other Expenditures,Norfolk
Total Spending,2658194,Debt Service,Norfolk
Residential Levy,13132782.6,Tax Levy,North Adams
Open Space Levy,0,Tax Levy,North Adams
Commercial Levy,4439609.17,Tax Levy,North Adams
Industrial Levy,926242.16,Tax Levy,North Adams
Personal Prop Levy,2211082.29,Tax Levy,North Adams
Tax Levy,20709716.22,Total Revenue,North Adams
State Aid,21175211,Total Revenue,North Adams
Local Receipts,6836784,Total Revenue,North Adams
Enterprise & CPA Funds,0,Total Revenue,North Adams
Other Revenue,1326199,Total Revenue,North Adams
Total Revenue,48297977,Total Spending,North Adams
Total Revenue,1749933.2199999988,Budget Surplus,North Adams
Budget Defecit,0,Total Spending,North Adams
Total Spending,1915148,General Government,North Adams
Total Spending,2624011,Police,North Adams
Total Spending,1961294,Fire,North Adams
Total Spending,485085,Other Public Safety,North Adams
Total Spending,19272027,Education,North Adams
Total Spending,4932025,Public Works,North Adams
Total Spending,555919,Human Services,North Adams
Total Spending,687939,Culture and Recreation,North Adams
Total Spending,9951670,Fixed Costs,North Adams
Total Spending,3873146,Intergovernmental Assessments,North Adams
Total Spending,1003445,Other Expenditures,North Adams
Total Spending,1036268,Debt Service,North Adams
Residential Levy,71836732.52,Tax Levy,North Andover
Open Space Levy,0,Tax Levy,North Andover
Commercial Levy,7477896.48,Tax Levy,North Andover
Industrial Levy,9246445.26,Tax Levy,North Andover
Personal Prop Levy,3160173.95,Tax Levy,North Andover
Tax Levy,91721248.21,Total Revenue,North Andover
State Aid,13746341,Total Revenue,North Andover
Local Receipts,10965320.25,Total Revenue,North Andover
Enterprise & CPA Funds,14038211.55,Total Revenue,North Andover
Other Revenue,6963435.37,Total Revenue,North Andover
Total Revenue,110873560,Total Spending,North Andover
Total Revenue,26560996.379999995,Budget Surplus,North Andover
Budget Defecit,0,Total Spending,North Andover
Total Spending,5131509,General Government,North Andover
Total Spending,6099635,Police,North Andover
Total Spending,6244489,Fire,North Andover
Total Spending,333843,Other Public Safety,North Andover
Total Spending,58391390,Education,North Andover
Total Spending,6124214,Public Works,North Andover
Total Spending,1434848,Human Services,North Andover
Total Spending,1184344,Culture and Recreation,North Andover
Total Spending,19523534,Fixed Costs,North Andover
Total Spending,757171,Intergovernmental Assessments,North Andover
Total Spending,1051596,Other Expenditures,North Andover
Total Spending,4596987,Debt Service,North Andover
Residential Levy,55809738.58,Tax Levy,North Attleborough
Open Space Levy,0,Tax Levy,North Attleborough
Commercial Levy,8902427.01,Tax Levy,North Attleborough
Industrial Levy,1839870.76,Tax Levy,North Attleborough
Personal Prop Levy,1406852.04,Tax Levy,North Attleborough
Tax Levy,67958888.39,Total Revenue,North Attleborough
State Aid,25158314,Total Revenue,North Attleborough
Local Receipts,6636502,Total Revenue,North Attleborough
Enterprise & CPA Funds,16295611,Total Revenue,North Attleborough
Other Revenue,11012413,Total Revenue,North Attleborough
Total Revenue,98542020,Total Spending,North Attleborough
Total Revenue,28519708.39,Budget Surplus,North Attleborough
Budget Defecit,0,Total Spending,North Attleborough
Total Spending,3771706,General Government,North Attleborough
Total Spending,5987868,Police,North Attleborough
Total Spending,4981872,Fire,North Attleborough
Total Spending,2252901,Other Public Safety,North Attleborough
Total Spending,51261965,Education,North Attleborough
Total Spending,2105248,Public Works,North Attleborough
Total Spending,914740,Human Services,North Attleborough
Total Spending,1416679,Culture and Recreation,North Attleborough
Total Spending,15130058,Fixed Costs,North Attleborough
Total Spending,5691486,Intergovernmental Assessments,North Attleborough
Total Spending,866736,Other Expenditures,North Attleborough
Total Spending,4160761,Debt Service,North Attleborough
Residential Levy,6988513.8,Tax Levy,North Brookfield
Open Space Levy,0,Tax Levy,North Brookfield
Commercial Levy,237555.74,Tax Levy,North Brookfield
Industrial Levy,199064.43,Tax Levy,North Brookfield
Personal Prop Levy,523163.49,Tax Levy,North Brookfield
Tax Levy,7948297.46,Total Revenue,North Brookfield
State Aid,5871177,Total Revenue,North Brookfield
Local Receipts,985139,Total Revenue,North Brookfield
Enterprise & CPA Funds,2179379.85,Total Revenue,North Brookfield
Other Revenue,1084730.63,Total Revenue,North Brookfield
Total Revenue,15004941,Total Spending,North Brookfield
Total Revenue,3063782.9400000013,Budget Surplus,North Brookfield
Budget Defecit,0,Total Spending,North Brookfield
Total Spending,534277,General Government,North Brookfield
Total Spending,736748,Police,North Brookfield
Total Spending,274858,Fire,North Brookfield
Total Spending,195494,Other Public Safety,North Brookfield
Total Spending,6795433,Education,North Brookfield
Total Spending,1022669,Public Works,North Brookfield
Total Spending,108626,Human Services,North Brookfield
Total Spending,148179,Culture and Recreation,North Brookfield
Total Spending,2908302,Fixed Costs,North Brookfield
Total Spending,1370826,Intergovernmental Assessments,North Brookfield
Total Spending,31778,Other Expenditures,North Brookfield
Total Spending,877751,Debt Service,North Brookfield
Residential Levy,52474310.37,Tax Levy,North Reading
Open Space Levy,0,Tax Levy,North Reading
Commercial Levy,3614994.25,Tax Levy,North Reading
Industrial Levy,2354363.11,Tax Levy,North Reading
Personal Prop Levy,987434.21,Tax Levy,North Reading
Tax Levy,59431101.94,Total Revenue,North Reading
State Aid,9904302,Total Revenue,North Reading
Local Receipts,5651526.66,Total Revenue,North Reading
Enterprise & CPA Funds,7953016,Total Revenue,North Reading
Other Revenue,8004110.4,Total Revenue,North Reading
Total Revenue,76966872,Total Spending,North Reading
Total Revenue,13977185,Budget Surplus,North Reading
Budget Defecit,0,Total Spending,North Reading
Total Spending,4561637,General Government,North Reading
Total Spending,4323889,Police,North Reading
Total Spending,3623918,Fire,North Reading
Total Spending,644466,Other Public Safety,North Reading
Total Spending,36620574,Education,North Reading
Total Spending,4790096,Public Works,North Reading
Total Spending,805011,Human Services,North Reading
Total Spending,709104,Culture and Recreation,North Reading
Total Spending,13139197,Fixed Costs,North Reading
Total Spending,192920,Intergovernmental Assessments,North Reading
Total Spending,0,Other Expenditures,North Reading
Total Spending,7556060,Debt Service,North Reading
Residential Levy,59640481.95,Tax Levy,Northampton
Open Space Levy,0,Tax Levy,Northampton
Commercial Levy,8910425.24,Tax Levy,Northampton
Industrial Levy,1960540.53,Tax Levy,Northampton
Personal Prop Levy,1831406.54,Tax Levy,Northampton
Tax Levy,72342854.26,Total Revenue,Northampton
State Aid,16456145,Total Revenue,Northampton
Local Receipts,19616239,Total Revenue,Northampton
Enterprise & CPA Funds,20577710,Total Revenue,Northampton
Other Revenue,4834526.95,Total Revenue,Northampton
Total Revenue,111622439,Total Spending,Northampton
Total Revenue,22205036.21000001,Budget Surplus,Northampton
Budget Defecit,0,Total Spending,Northampton
Total Spending,10727169,General Government,Northampton
Total Spending,6712103,Police,Northampton
Total Spending,7076571,Fire,Northampton
Total Spending,1479486,Other Public Safety,Northampton
Total Spending,46079220,Education,Northampton
Total Spending,4303320,Public Works,Northampton
Total Spending,2017479,Human Services,Northampton
Total Spending,2411097,Culture and Recreation,Northampton
Total Spending,22504269,Fixed Costs,Northampton
Total Spending,3866523,Intergovernmental Assessments,Northampton
Total Spending,0,Other Expenditures,Northampton
Total Spending,4445202,Debt Service,Northampton
Residential Levy,42605929.11,Tax Levy,Northborough
Open Space Levy,0,Tax Levy,Northborough
Commercial Levy,5818791.39,Tax Levy,Northborough
Industrial Levy,7375539.01,Tax Levy,Northborough
Personal Prop Levy,1706868.64,Tax Levy,Northborough
Tax Levy,57507128.15,Total Revenue,Northborough
State Aid,5759836,Total Revenue,Northborough
Local Receipts,4198118,Total Revenue,Northborough
Enterprise & CPA Funds,6818174,Total Revenue,Northborough
Other Revenue,3753621,Total Revenue,Northborough
Total Revenue,66652840,Total Spending,Northborough
Total Revenue,11384037.150000006,Budget Surplus,Northborough
Budget Defecit,0,Total Spending,Northborough
Total Spending,3275204,General Government,Northborough
Total Spending,3013533,Police,Northborough
Total Spending,2200055,Fire,Northborough
Total Spending,268919,Other Public Safety,Northborough
Total Spending,41374904,Education,Northborough
Total Spending,3139181,Public Works,Northborough
Total Spending,740986,Human Services,Northborough
Total Spending,1393778,Culture and Recreation,Northborough
Total Spending,8996994,Fixed Costs,Northborough
Total Spending,322159,Intergovernmental Assessments,Northborough
Total Spending,0,Other Expenditures,Northborough
Total Spending,1927127,Debt Service,Northborough
Residential Levy,26805146.29,Tax Levy,Northbridge
Open Space Levy,0,Tax Levy,Northbridge
Commercial Levy,2243101.57,Tax Levy,Northbridge
Industrial Levy,598557.6,Tax Levy,Northbridge
Personal Prop Levy,1006932.9,Tax Levy,Northbridge
Tax Levy,30653738.36,Total Revenue,Northbridge
State Aid,19206216,Total Revenue,Northbridge
Local Receipts,2622000,Total Revenue,Northbridge
Enterprise & CPA Funds,5286173,Total Revenue,Northbridge
Other Revenue,3947124.55,Total Revenue,Northbridge
Total Revenue,53318893,Total Spending,Northbridge
Total Revenue,8396358.909999996,Budget Surplus,Northbridge
Budget Defecit,0,Total Spending,Northbridge
Total Spending,2086603,General Government,Northbridge
Total Spending,3026883,Police,Northbridge
Total Spending,1491431,Fire,Northbridge
Total Spending,1163061,Other Public Safety,Northbridge
Total Spending,27920301,Education,Northbridge
Total Spending,2024667,Public Works,Northbridge
Total Spending,398894,Human Services,Northbridge
Total Spending,336406,Culture and Recreation,Northbridge
Total Spending,8390683,Fixed Costs,Northbridge
Total Spending,1368183,Intergovernmental Assessments,Northbridge
Total Spending,29873,Other Expenditures,Northbridge
Total Spending,5081908,Debt Service,Northbridge
Residential Levy,4876307.32,Tax Levy,Northfield
Open Space Levy,0,Tax Levy,Northfield
Commercial Levy,261443.3,Tax Levy,Northfield
Industrial Levy,1359155.64,Tax Levy,Northfield
Personal Prop Levy,2166519.44,Tax Levy,Northfield
Tax Levy,8663425.7,Total Revenue,Northfield
State Aid,547542,Total Revenue,Northfield
Local Receipts,589571,Total Revenue,Northfield
Enterprise & CPA Funds,1144883,Total Revenue,Northfield
Other Revenue,1480800,Total Revenue,Northfield
Total Revenue,9234756,Total Spending,Northfield
Total Revenue,3191465.6999999993,Budget Surplus,Northfield
Budget Defecit,0,Total Spending,Northfield
Total Spending,745975,General Government,Northfield
Total Spending,501245,Police,Northfield
Total Spending,146140,Fire,Northfield
Total Spending,100452,Other Public Safety,Northfield
Total Spending,5336252,Education,Northfield
Total Spending,1361491,Public Works,Northfield
Total Spending,159139,Human Services,Northfield
Total Spending,281811,Culture and Recreation,Northfield
Total Spending,568783,Fixed Costs,Northfield
Total Spending,33468,Intergovernmental Assessments,Northfield
Total Spending,0,Other Expenditures,Northfield
Total Spending,0,Debt Service,Northfield
Residential Levy,36419905.33,Tax Levy,Norton
Open Space Levy,0,Tax Levy,Norton
Commercial Levy,3708858.44,Tax Levy,Norton
Industrial Levy,4037667.89,Tax Levy,Norton
Personal Prop Levy,1291747.62,Tax Levy,Norton
Tax Levy,45458179.28,Total Revenue,Norton
State Aid,17171709,Total Revenue,Norton
Local Receipts,4087000,Total Revenue,Norton
Enterprise & CPA Funds,7924125,Total Revenue,Norton
Other Revenue,5840433.75,Total Revenue,Norton
Total Revenue,67390423,Total Spending,Norton
Total Revenue,13091024.030000001,Budget Surplus,Norton
Budget Defecit,0,Total Spending,Norton
Total Spending,2611717,General Government,Norton
Total Spending,4113886,Police,Norton
Total Spending,4891931,Fire,Norton
Total Spending,855789,Other Public Safety,Norton
Total Spending,34997402,Education,Norton
Total Spending,1322664,Public Works,Norton
Total Spending,567092,Human Services,Norton
Total Spending,567933,Culture and Recreation,Norton
Total Spending,11278450,Fixed Costs,Norton
Total Spending,1923020,Intergovernmental Assessments,Norton
Total Spending,753127,Other Expenditures,Norton
Total Spending,3507412,Debt Service,Norton
Residential Levy,44690286.75,Tax Levy,Norwell
Open Space Levy,0,Tax Levy,Norwell
Commercial Levy,5620726.87,Tax Levy,Norwell
Industrial Levy,528173.17,Tax Levy,Norwell
Personal Prop Levy,985098.16,Tax Levy,Norwell
Tax Levy,51824284.95,Total Revenue,Norwell
State Aid,6810902,Total Revenue,Norwell
Local Receipts,5655797,Total Revenue,Norwell
Enterprise & CPA Funds,1982969.69,Total Revenue,Norwell
Other Revenue,4798952.13,Total Revenue,Norwell
Total Revenue,64678092,Total Spending,Norwell
Total Revenue,6394813.769999996,Budget Surplus,Norwell
Budget Defecit,0,Total Spending,Norwell
Total Spending,2855018,General Government,Norwell
Total Spending,3873096,Police,Norwell
Total Spending,3168232,Fire,Norwell
Total Spending,930234,Other Public Safety,Norwell
Total Spending,32273595,Education,Norwell
Total Spending,4735328,Public Works,Norwell
Total Spending,549954,Human Services,Norwell
Total Spending,902981,Culture and Recreation,Norwell
Total Spending,10230487,Fixed Costs,Norwell
Total Spending,1491211,Intergovernmental Assessments,Norwell
Total Spending,0,Other Expenditures,Norwell
Total Spending,3667956,Debt Service,Norwell
Residential Levy,54391823.89,Tax Levy,Norwood
Open Space Levy,0,Tax Levy,Norwood
Commercial Levy,26253586.55,Tax Levy,Norwood
Industrial Levy,10862123.65,Tax Levy,Norwood
Personal Prop Levy,3118094.37,Tax Levy,Norwood
Tax Levy,94625628.46,Total Revenue,Norwood
State Aid,18605029,Total Revenue,Norwood
Local Receipts,20366092,Total Revenue,Norwood
Enterprise & CPA Funds,20725942,Total Revenue,Norwood
Other Revenue,22270919,Total Revenue,Norwood
Total Revenue,132726096,Total Spending,Norwood
Total Revenue,43867514.45999998,Budget Surplus,Norwood
Budget Defecit,0,Total Spending,Norwood
Total Spending,14166997,General Government,Norwood
Total Spending,9764626,Police,Norwood
Total Spending,9241239,Fire,Norwood
Total Spending,689966,Other Public Safety,Norwood
Total Spending,54228684,Education,Norwood
Total Spending,8132800,Public Works,Norwood
Total Spending,1319593,Human Services,Norwood
Total Spending,3014350,Culture and Recreation,Norwood
Total Spending,23563641,Fixed Costs,Norwood
Total Spending,2672406,Intergovernmental Assessments,Norwood
Total Spending,0,Other Expenditures,Norwood
Total Spending,5931794,Debt Service,Norwood
Residential Levy,27365593.27,Tax Levy,Oak Bluffs
Open Space Levy,0,Tax Levy,Oak Bluffs
Commercial Levy,1262674.18,Tax Levy,Oak Bluffs
Industrial Levy,37408.09,Tax Levy,Oak Bluffs
Personal Prop Levy,263358.94,Tax Levy,Oak Bluffs
Tax Levy,28929034.48,Total Revenue,Oak Bluffs
State Aid,2320197,Total Revenue,Oak Bluffs
Local Receipts,4800000,Total Revenue,Oak Bluffs
Enterprise & CPA Funds,3289698.4,Total Revenue,Oak Bluffs
Other Revenue,1641515.29,Total Revenue,Oak Bluffs
Total Revenue,37045559,Total Spending,Oak Bluffs
Total Revenue,3934886.170000002,Budget Surplus,Oak Bluffs
Budget Defecit,0,Total Spending,Oak Bluffs
Total Spending,3407103,General Government,Oak Bluffs
Total Spending,2617711,Police,Oak Bluffs
Total Spending,547475,Fire,Oak Bluffs
Total Spending,1521885,Other Public Safety,Oak Bluffs
